User,Date Created,Number of Likes,Number of Retweets,Source of Tweet,Tweet
Tim Cook,2023-05-10 20:12:34+00:00,1764,194,,"Beautiful record. Incredible interview. Excited for fans to enjoy “Subtract"" live for the very first time and in Spatial Audio on @AppleMusic. https://t.co/dVZjpgA7RC"
Tim Cook,2023-05-09 15:19:52+00:00,11686,1771,,Final Cut Pro and Logic Pro are coming to iPad! The ultimate mobile studio now at your fingertips. https://t.co/b6Pv9lOXTt
Tim Cook,2023-05-08 14:47:13+00:00,881,108,,And a special thanks to the dedicated teachers in Downey Unified School District who use Everyone Can Create and Apple Learning Coach to help their students learn in new ways. https://t.co/6gIZknJsCj
Tim Cook,2023-05-08 14:47:10+00:00,3208,330,,"Thank you to all the teachers out there who dedicate their lives, day in and day out, preparing the next generation for a bright and hopeful future. #ThankATeacher https://t.co/XnD62S76Lk"
Tim Cook,2023-05-01 15:02:07+00:00,3145,266,,"May is Asian Pacific American Heritage Month, and we’re proud to celebrate the incredibly rich histories, cultures, and traditions of Asian American, Native Hawaiian, and Pacific Islander communities at Apple and around the world."
Tim Cook,2023-04-25 15:12:57+00:00,9392,1003,,"The world has lost a true giant today. Harry Belafonte was a barrier breaker who helped reshape our world through his civil rights advocacy, his music, and his acting. May he rest in peace. https://t.co/rhWZ5GOc6R"
Tim Cook,2023-04-24 18:41:27+00:00,5127,380,,"Happy National Park Week! Thank you, @justbbish, for the stunning shot on iPhone photo from @GrandTetonNPS. Our national parks are breathtakingly beautiful and we must protect them for generations to come. https://t.co/LT9LNnqiLb"
Tim Cook,2023-04-22 16:45:06+00:00,2872,240,,Check out more about our environmental work here. https://t.co/GKFRZNDrgK
Tim Cook,2023-04-22 16:45:04+00:00,22088,1523,,Apple 2030 is our commitment to making all of our products and our supply chain carbon neutral. We’re innovating every day to redefine what‘s possible and to protect this planet we all share. Happy Earth Day! https://t.co/eEEWMWrYwd
Tim Cook,2023-04-21 09:37:13+00:00,50852,2115,,What an incredible week in India! Thanks to our teams across the country. I can’t wait to return! 🙏🇮🇳 https://t.co/ZlkkueN2Kp
Tim Cook,2023-04-21 08:30:15+00:00,12224,700,,"It’s great to see so many developers across India pursuing their passion and sharing their ideas with users around the world. I had the pleasure of meeting Hitwicket, India’s top-rated cricket app, Prayoga, an AR-based yoga app, and LookUp, an easy to use dictionary app! 🏏 🧘 📖 https://t.co/f6zGfv2dMA"
Tim Cook,2023-04-21 07:30:26+00:00,11627,654,,"""The Astronaut and His Parrot” is a story of hope and connection. Today, I met one of India's best sci-fi filmmakers @AratiKadav, who created this beautiful award-winning short film using only her iPhone and MacBook Pro. https://t.co/QzxCh3tMqc"
Tim Cook,2023-04-21 05:47:21+00:00,26527,1459,,"These amazing rangoli and kolam designs are so vibrant and beautiful. Flower petals, rice, and colored sand weaved together in perfect harmony—then captured brilliantly on iPhone by Apeksha Maker and Joshua Karthik in these photos. #ShotOniPhone https://t.co/peFPWUbI3f"
Tim Cook,2023-04-21 03:00:25+00:00,14057,696,,It was a treat to spend time in Pooja’s kitchen. Her passion for baking and the business she’s created is a reminder of what’s possible when you follow your dreams. Great to see how she uses iPhone and Mac in her creative process. Best macaron I’ve ever had! https://t.co/IZSpcihZow https://t.co/pMcBxXJK4x
Tim Cook,2023-04-20 17:41:14+00:00,34185,1283,,Thank you so much for an unforgettable evening! 🏏🇮🇳 https://t.co/JNGdbt6QnJ
Tim Cook,2023-04-20 06:49:47+00:00,32142,1754,,"What an incredible reception, Delhi, thank you! We’re delighted to welcome our customers to our newest store—Apple Saket! https://t.co/5Jmi79ixzl"
Tim Cook,2023-04-20 03:27:56+00:00,6092,419,,Behind every Apple product is a plan for the future. We’re closer than ever to the day you can hold your device and know it has net zero carbon impact. https://t.co/VFq7RNUAdN
Tim Cook,2023-04-19 13:47:30+00:00,73292,6150,,"Thank you Prime Minister @narendramodi for the warm welcome. We share your vision of the positive impact technology can make on India’s future — from education and developers to manufacturing and the environment, we’re committed to growing and investing across the country. https://t.co/xRSjc7u5Ip"
Tim Cook,2023-04-19 10:44:31+00:00,21453,1175,,"I could've spent the whole day at the National Crafts Museum &amp; Hastkala Academy. From ancient and vibrant textiles to impossibly intricate wood carvings, it displayed India’s deep—and deeply beautiful— culture of craft. Thanks Sarah Sham and Ruchika Sachdeva for showing me… https://t.co/oXFUKaKNOG https://t.co/CzQy0dOi8y"
Tim Cook,2023-04-19 08:15:58+00:00,19730,1151,,Delhi’s Lodhi Art District is a remarkable public space. Congratulations to the St+art India Foundation and so many amazing artists for capturing Indian life so powerfully. And thank you to Dattaraj Naik for showing me how you design your murals on iPad. https://t.co/5JuzlHRvPC
Tim Cook,2023-04-19 05:28:20+00:00,14545,729,,The Indian School of Design &amp; Innovation is helping the next generation of creatives unlock their full potential. Thanks for sharing how you create those amazing designs using iPad! https://t.co/3QSNIqzOQX
Tim Cook,2023-04-19 04:21:44+00:00,11103,503,,Thank you to the enormously talented @Malimanojmusic for showing me all the ways you’re using Apple products to create music—from songwriting with iPhone to developing unique beats on MacBook Pro. I loved the sneak peek of your new song in Spatial Audio! https://t.co/AOpYLeTFv6
Tim Cook,2023-04-19 01:15:26+00:00,14700,795,,"I met the most incredible group of students and teachers at an Akanksha Foundation school, where children that might not have otherwise had the opportunity are given the chance to reach for their dreams. These students embody perseverance and hope! We’re proud to support them. https://t.co/jFBWLGdqtP"
Tim Cook,2023-04-18 16:09:46+00:00,11197,582,,I really enjoyed seeing the many ways that Kiddopia is helping preschoolers learn! And Sandeep Ranade from Naadsadhana gave such a moving performance of the song Mile Sur Mera Tumhara. The vibrant developer community here in India is making such an impact on the world! https://t.co/ja7wDrN92t
Tim Cook,2023-04-18 15:11:35+00:00,21378,1134,,"Great meeting Coach Gopichand and badminton champions Saina Nehwal, Srikanth Kidambi, Chirag Shetty, and Parupalli Kashyap, who have played a part in putting badminton on the map for India. We served, smashed, and talked about how Apple Watch helps them train! 🏸⌚️ https://t.co/C9dghWK6XO"
Tim Cook,2023-04-18 06:54:56+00:00,46093,3380,,"The energy, creativity, and passion in Mumbai is incredible! We are so excited to open Apple BKC — our first store in India. https://t.co/talx2ZQEMl"
Tim Cook,2023-04-17 14:25:31+00:00,26071,1600,,Thanks @madhuridixit for introducing me to my very first Vada Pav — it was delicious! https://t.co/Th40jqAEGa
Tim Cook,2023-04-17 12:26:54+00:00,28154,1913,,"Hello, Mumbai! We can’t wait to welcome our customers to the new Apple BKC tomorrow. 🇮🇳 https://t.co/9V5074OA8W"
Tim Cook,2023-04-13 14:02:33+00:00,2745,254,,Here’s how we’re charting progress toward our goal to use only recycled and renewable materials in all our products. https://t.co/cojX8tXhpX
Tim Cook,2023-04-13 14:02:32+00:00,10342,773,,"Every day, our teams are innovating to develop products that will one day take nothing from the Earth. Thanks to their work, each battery we design for our products will use 100% recycled cobalt by 2025. https://t.co/JtzLwxIGof"
Tim Cook,2023-04-11 21:11:10+00:00,4161,407,,Investing in innovative nature-based carbon removal projects is one of the many ways we’re fighting climate change. Expanding our Restore Fund will help remove another 1 million metric tons of carbon from the atmosphere each year. https://t.co/1yzH40Ynma
Tim Cook,2023-04-09 14:55:41+00:00,8992,592,,Happy Easter! 🐇🐣
Tim Cook,2023-04-05 23:48:42+00:00,3256,238,,Wishing everyone celebrating Passover around the world a wonderful holiday filled with community and tradition.
Tim Cook,2023-04-05 14:50:45+00:00,4353,453,,"We’re investing in new, green technologies and partnering with companies to bring more clean energy online worldwide. The scale of this challenge is immense — but so is our determination to meet it. https://t.co/P80xUAMo25"
Tim Cook,2023-03-31 20:54:41+00:00,4469,429,,"At Apple, we proudly stand with all trans and gender non-conforming people, and we are deeply committed to building an inclusive environment — and a better world — where everyone feels they belong. #TransDayOfVisibility"
Tim Cook,2023-03-31 19:39:31+00:00,5011,397,,"We’re thrilled to open Apple Gangnam, a wonderful new space for customers to explore our latest products and services in Seoul. 🇰🇷 https://t.co/GRmP4Vb7z8"
Tim Cook,2023-03-30 16:05:19+00:00,7281,1893,,"Our team was so excited to host NewJeans for a special sneak peek at Apple Gangnam, we can’t wait to open our doors and welcome customers tomorrow in Seoul. https://t.co/Gly78e1Zmx"
Tim Cook,2023-03-28 23:26:44+00:00,5887,609,,"Get ready for an incredible experience with Apple Music Classical, the world’s largest classical music catalog at your fingertips, available now and in spatial audio. This is “A Major” achievement!  🎼 https://t.co/s66GOODrf2"
Tim Cook,2023-03-26 13:24:11+00:00,5753,358,,Our hearts go out to the people and communities affected by severe storms across the South. Apple will be donating to relief and recovery efforts.
